HUGO_GENE_SYMBOL,ENTREZ_GENE_ID
MUC16,94025
MUC4,4585
MUC6,4588
MUTYH,4595
MYB,4602
MYC,4609
MYCL,4610
MYCN,4613
MYD88,4615
MYH11,4629
MYH9,4627
MYO5A,4644
MYOD1,4654
N4BP2,55728
NAB2,4665
NACA,4666
NBEA,26960
NBN,4683
NCKIPSD,51517
NCOA1,8648
NCOA2,10499
NCOA4,8031
NCOR1,9611
NCOR2,9612
NDRG1,10397
NF1,4763
NF2,4771
NFATC2,4773
NFE2L2,4780
NFIB,4781
NFKB2,4791
NFKBIE,4794
NIN,51199
NKX2-1,7080
NONO,4841
NOTCH1,4851
NOTCH2,4853
NPM1,4869
NR4A3,8013
NRAS,4893
NRG1,3084
NSD1,64324
NSD2,7468
NSD3,54904
NT5C2,22978
NTHL1,4913
NTRK1,4914
NTRK2,4915
NTRK3,4916
NUMA1,4926
NUP214,8021
NUP98,4928
NUTM1,256646
NUTM2B,729262
NUTM2D,728130
OLIG2,10215
OMD,4958
P2RY8,286530
PABPC1,26986
PAFAH1B2,5049
PALB2,79728
PATZ1,23598
PAX3,5077
PAX5,5079
PAX7,5081
PAX8,7849
PBRM1,55193
PBX1,5087
PCBP1,5093
PCM1,5108
PDCD1LG2,80380
PDE4DIP,9659
PDGFB,5155
PDGFRA,5156
PDGFRB,5159
PER1,5187
PHF6,84295
PHOX2B,8929
PICALM,8301
PIK3CA,5290
PIK3CB,5291
PIK3R1,5295
PIM1,5292
PLAG1,5324
PLCG1,5335
PML,5371
PMS1,5378
PMS2,5395
POLD1,5424
POLE,5426
POLG,5428
POLQ,10721
POLR2A,5430
POT1,25913
POU2AF1,5450
POU5F1,5460
PPARG,5468
PPFIBP1,8496
PPM1D,8493
PPP2R1A,5518
PPP6C,5537
PRCC,5546
PRDM1,639
PRDM16,63976
PRDM2,7799
PREX2,80243
PRF1,5551
PRKACA,5566
PRKAR1A,5573
PRKCB,5579
PRKD1,5587
PRPF40B,25766
PRRX1,5396
PSIP1,11168
PTCH1,5727
PTEN,5728
PTK6,5753
PTPN11,5781
PTPN13,5783
PTPN6,5777
PTPRB,5787
PTPRC,5788
PTPRD,5789
PTPRK,5796
PTPRT,11122
PWWP2A,114825
QKI,9444
RABEP1,9135
RAC1,5879
RAD17,5884
RAD21,5885
RAD50,10111
RAD51B,5890
RAF1,5894
RALGDS,5900
RANBP2,5903
RAP1B,5908
RAP1GDS1,5910
RARA,5914
RB1,5925
RBM10,8241
RBM15,64783
RECQL4,9401
REL,5966
RET,5979
RFWD3,55159
RGPD3,653489
RGS7,6000
RHOA,387
RHOH,399
RMI2,116028
RNF213,57674
RNF43,54894
ROBO2,6092
ROS1,6098
RPL10,6134
RPL22,6146
RPL5,6125
RPN1,6184
RRAS2,22800
RSPO2,340419
RSPO3,84870
RUNX1,861
RUNX1T1,862
S100A7,6278
SALL4,57167
SBDS,51119
SDC4,6385
SDHA,6389
SDHAF2,54949
SDHB,6390
SDHC,6391
SDHD,6392
SEPT5,5413
SEPT6,23157
SEPT9,10801
SET,6418
SETBP1,26040
SETD1B,23067
SETD2,29072
SETDB1,9869
SF3B1,23451
SFPQ,6421
SFRP4,6424
SGK1,6446
SH2B3,10019
SH3GL1,6455
SHTN1,57698
SIRPA,140885
SIX1,6495
SIX2,10736
SKI,6497
SLC34A2,10568
SLC45A3,85414
SMAD2,4087
SMAD3,4088
SMAD4,4089
SMARCA4,6597
SMARCB1,6598
SMARCD1,6602
SMARCE1,6605
SMC1A,8243
SMO,6608
SND1,27044
SNX29,92017
SOCS1,8651
SOX2,6657
SOX21,11166
SPECC1,92521
SPEN,23013
SPOP,8405
SRC,6714
SRGAP3,9901
SRSF2,6427
SRSF3,6428
SS18,6760
SS18L1,26039
SSX1,6756
SSX2,6757
SSX4,6759
STAG1,10274
STAG2,10735
STAT3,6774
STAT5B,6777
STAT6,6778
STIL,6491
STK11,6794
STRN,6801
SUB1,10923
SUFU,51684
SUZ12,23512
SYK,6850
TAF15,8148
TAL1,6886
TAL2,6887
TBL1XR1,79718
TBX3,6926
TCEA1,6917
TCF12,6938
TCF3,6929
TCF7L2,6934
TCL1A,8115
TEC,7006
TENT5C,54855
TERT,7015
TET1,80312
TET2,54790
TFE3,7030
TFEB,7942
TFG,10342
TFPT,29844
TFRC,7037
TGFBR2,7048
THRAP3,9967
TLX1,3195
TLX3,30012
TMEM127,55654
TMPRSS2,7113
TMSB4X,7114
TNC,3371
TNFAIP3,7128
TNFRSF14,8764
TNFRSF17,608
TOP1,7150
TP53,7157
TP63,8626
TPM3,7170
TPM4,7171
TPR,7175
TRA,6955
TRAF7,84231
TRB,6957
TRD,6964
TRIM24,8805
TRIM27,5987
TRIM33,51592
TRIP11,9321
TRRAP,8295
TSC1,7248
TSC2,7249
TSHR,7253
U2AF1,7307
UBR5,51366
USP44,84101
USP6,9098
USP8,9101
USP9X,8239
VAV1,7409
VHL,7428
VTI1A,143187
WAS,7454
WDCP,80304
WIF1,11197
WNK2,65268
WRN,7486
WT1,7490
WWTR1,25937
XPA,7507
XPC,7508
XPO1,7514
YWHAE,7531
ZBTB16,7704
ZCCHC8,55596
ZEB1,6935
ZFHX3,463
ZMYM2,7750
ZMYM3,9203
ZNF331,55422
ZNF384,171017
ZNF429,353088
ZNF479,90827
ZNF521,25925
ZNRF3,84133
ZRSR2,8233
